sms_text,category,amount
UPI txn Rs. 340.00 for ONLINE COURSE on 26-08-2023. Ref: OC4567. SBI.,Others,340.0
Rs. 220.50 debited for PARKING FEE via UPI on 24-08-2023. Ref ID: PKG789. Paytm.,Others,220.5
UPI payment Rs. 1300.00 for FURNITURE purchase on 22-08-2023. Ref: FRN1234. Axis.,Others,1300.0
Rs. 75.00 spent at LOCAL CAFE via UPI on 20-09-2023. Ref ID: CAF567. HDFC.,Food,75.0
UPI txn Rs. 180.25 to ZOMATO on 18-09-2023. Ref: ZOM8910. ICICI.,Food,180.25
Rs. 250.00 debited for SWIGGY order on 16-09-2023. Ref ID: SWG345. SBI.,Food,250.0
UPI payment Rs. 99.99 to TEA STALL on 14-09-2023. Ref: TS6789. Paytm.,Food,99.99
Rs. 420.50 spent at RESTAURANT DELIGHT via UPI on 12-09-2023. Ref ID: RES1122. Axis.,Food,420.5
UPI txn Rs. 310.75 to ZOMATO on 10-09-2023. Ref: ZOM3344. HDFC.,Food,310.75
Rs. 560.00 debited for SWIGGY on 08-09-2023. Ref ID: SWG5566. ICICI.,Food,560.0
UPI payment Rs. 135.25 to TEA STALL on 06-09-2023. Ref: TS7788. SBI.,Food,135.25
Rs. 2500 paid for DMART groceries via UPI on 04-09-2023. Ref ID: DMRT9999. HDFC.,Groceries,2500.0
UPI txn Rs. 845.50 to BLINKIT on 02-09-2023. Ref: BLK1112. Axis.,Groceries,845.5
Rs. 320.00 debited for ZEPT0 on 30-08-2023. Ref ID: ZEP2222. ICICI.,Groceries,320.0
UPI payment Rs. 415.75 to LOCAL KIRANA on 28-08-2023. Ref: KIR3333. SBI.,Groceries,415.75
Rs. 780.00 spent at DMART via UPI on 26-08-2023. Ref ID: DMRT4444. Paytm.,Groceries,780.0
UPI txn Rs. 199.99 to BLINKIT on 24-08-2023. Ref: BLK5555. HDFC.,Groceries,199.99
Rs. 650.25 debited for ZEPT0 on 22-08-2023. Ref ID: ZEP6666. Axis.,Groceries,650.25
UPI payment Rs. 375.00 to LOCAL KIRANA on 20-08-2023. Ref: KIR7777. ICICI.,Groceries,375.0
Rs. 950.00 spent at DMART via UPI on 18-08-2023. Ref ID: DMRT8888. SBI.,Groceries,950.0
UPI txn Rs. 420.60 to BLINKIT on 16-08-2023. Ref: BLK9999. Paytm.,Groceries,420.6
Rs. 120.00 debited for UBER ride on 14-09-2023. Ref ID: UBR1010. HDFC.,Travel,120.0
UPI payment Rs. 55.75 to RAPIDO on 12-09-2023. Ref: RAP2020. ICICI.,Travel,55.75
Rs. 3000 paid for IRCTC ticket via UPI on 10-09-2023. Ref ID: IRCTC3030. SBI.,Travel,3000.0
UPI txn Rs. 380.00 to PETROL BUNK on 08-09-2023. Ref: PET4040. Axis.,Travel,380.0
Rs. 95.50 debited for UBER on 06-09-2023. Ref ID: UBR5050. Paytm.,Travel,95.5
UPI payment Rs. 70.00 to RAPIDO on 04-09-2023. Ref: RAP6060. HDFC.,Travel,70.0
Rs. 2100.00 paid for IRCTC reservation on 02-09-2023. Ref ID: IRCTC7070. ICICI.,Travel,2100.0
UPI txn Rs. 440.25 to PETROL STATION on 30-08-2023. Ref: PET8080. SBI.,Travel,440.25
Rs. 85.00 spent on UBER ride on 28-08-2023. Ref ID: UBR9090. Axis.,Travel,85.0
UPI debit Rs. 50.50 for RAPIDO on 26-08-2023. Ref: RAP1111. Paytm.,Travel,50.5
Rs. 3500 paid for IRCTC ticket on 24-08-2023. Ref ID: IRCTC1212. HDFC.,Travel,3500.0
UPI transaction Rs. 560.00 to PETROL BUNK on 22-08-2023. Ref: PET1313. ICICI.,Travel,560.0
Rs. 380.00 debited for medical consultation at APOLLO PHARMACY via UPI on 20-09-2023. Ref ID: APH1414.,Medical,380.0
UPI payment Rs. 1150.75 to SUN PHARMACY on 18-09-2023. Ref: SUN1515. SBI.,Medical,1150.75
Rs. 680.50 spent at MEDPLUS on 16-09-2023 via UPI. Ref ID: MP1616. Axis.,Medical,680.5
UPI txn Rs. 210.99 to APOLLO PHARMACY on 14-09-2023. Ref: APH1717. Paytm.,Medical,210.99
Rs. 630.00 debited for DENTAL CARE at DENTIST CLINIC via UPI on 12-09-2023. Ref ID: DENT1818.,Medical,630.0
UPI payment Rs. 340.75 to SUN PHARMACY on 10-09-2023. Ref: SUN1919. HDFC.,Medical,340.75
Rs. 475.25 spent at MEDPLUS on 08-09-2023 via UPI. Ref ID: MP2020. ICICI.,Medical,475.25
UPI txn Rs. 950.00 to APOLLO PHARMACY on 06-09-2023. Ref: APH2121. SBI.,Medical,950.0
Rs. 270.00 debited for PHYSIOTHERAPY at HEALTH CLINIC via UPI on 04-09-2023. Ref ID: HC2222.,Medical,270.0
UPI payment Rs. 720.50 to SUN PHARMACY on 02-09-2023. Ref: SUN2323. Axis.,Medical,720.5
Rs. 1800.00 paid for ELECTRICITY BILL via UPI on 30-08-2023. Ref ID: EBILL2424. HDFC.,Bills,1800.0
UPI debit Rs. 950.75 for WATER BILL on 28-08-2023. Ref: WBILL2525. ICICI.,Bills,950.75
Rs. 1300.00 paid for GAS BILL via UPI on 26-08-2023. Ref ID: GBILL2626. SBI.,Bills,1300.0
UPI txn Rs. 600.50 for MOBILE RECHARGE on 24-08-2023. Ref: MR2727. Axis.,Bills,600.5
Rs. 350.00 debited for DTH RECHARGE via UPI on 22-08-2023. Ref ID: DTH2828. Paytm.,Bills,350.0
UPI payment Rs. 850.25 for INTERNET BILL on 20-08-2023. Ref: IBILL2929. HDFC.,Bills,850.25
Rs. 470.00 paid for LANDLINE BILL via UPI on 18-08-2023. Ref ID: LBILL3030. ICICI.,Bills,470.0
UPI txn Rs. 219.99 for ELECTRICITY BILL on 16-08-2023. Ref: EBILL3131. SBI.,Bills,219.99
Rs. 1099.00 debited for WATER BILL via UPI on 14-08-2023. Ref ID: WBILL3232. Axis.,Bills,1099.0
UPI payment Rs. 280.75 for GAS BILL on 12-08-2023. Ref: GBILL3333. Paytm.,Bills,280.75
Rs. 410.00 spent at AMAZON PAY on 10-09-2023 via UPI. Ref ID: AMZ3434. HDFC.,Others,410.0
UPI debit Rs. 525.50 for ONLINE SUBSCRIPTION on 08-09-2023. Ref: SUB3535. ICICI.,Others,525.5
Rs. 720.00 paid to PAYTM CASHBACK via UPI on 06-09-2023. Ref ID: PTM3636. SBI.,Others,720.0
UPI txn Rs. 295.25 for GIFT CARD purchase on 04-09-2023. Ref: GC3737. Axis.,Others,295.25
Rs. 880.00 debited for CHARITY DONATION via UPI on 02-09-2023. Ref ID: CHAR3838. Paytm.,Others,880.0
UPI payment Rs. 165.75 for MOVIE TICKETS on 30-08-2023. Ref: MT3939. HDFC.,Others,165.75
Rs. 1090.00 spent at FLIPKART via UPI on 28-08-2023. Ref ID: FLP4040. ICICI.,Others,1090.0
UPI txn Rs. 360.00 for ONLINE COURSE on 26-08-2023. Ref: OC4141. SBI.,Others,360.0
Rs. 240.50 debited for PARKING FEE via UPI on 24-08-2023. Ref ID: PKG4242. Axis.,Others,240.5
UPI payment Rs. 1400.00 for FURNITURE purchase on 22-08-2023. Ref: FRN4343. Paytm.,Others,1400.0
Rs. 85.00 spent at LOCAL CAFE via UPI on 20-09-2023. Ref ID: CAF4444. HDFC.,Food,85.0
UPI txn Rs. 195.25 to ZOMATO on 18-09-2023. Ref: ZOM4545. ICICI.,Food,195.25
Rs. 275.00 debited for SWIGGY order on 16-09-2023. Ref ID: SWG4646. SBI.,Food,275.0
UPI payment Rs. 110.99 to TEA STALL on 14-09-2023. Ref: TS4747. Paytm.,Food,110.99
Rs. 460.50 spent at RESTAURANT DELIGHT via UPI on 12-09-2023. Ref ID: RES4848. Axis.,Food,460.5
UPI txn Rs. 340.75 to ZOMATO on 10-09-2023. Ref: ZOM4949. HDFC.,Food,340.75
Rs. 610.00 debited for SWIGGY on 08-09-2023. Ref ID: SWG5050. ICICI.,Food,610.0
UPI payment Rs. 150.25 to TEA STALL on 06-09-2023. Ref: TS5151. SBI.,Food,150.25
Rs. 2600 paid for DMART groceries via UPI on 04-09-2023. Ref ID: DMRT5252. HDFC.,Groceries,2600.0
UPI txn Rs. 915.50 to BLINKIT on 02-09-2023. Ref: BLK5353. Axis.,Groceries,915.5
Rs. 350.00 debited for ZEPT0 on 30-08-2023. Ref ID: ZEP5454. ICICI.,Groceries,350.0
UPI payment Rs. 485.75 to LOCAL KIRANA on 28-08-2023. Ref: KIR5555. SBI.,Groceries,485.75
Rs. 820.00 spent at DMART via UPI on 26-08-2023. Ref ID: DMRT5656. Paytm.,Groceries,820.0
UPI txn Rs. 219.99 to BLINKIT on 24-08-2023. Ref: BLK5757. HDFC.,Groceries,219.99
Rs. 710.25 debited for ZEPT0 on 22-08-2023. Ref ID: ZEP5858. Axis.,Groceries,710.25
UPI payment Rs. 395.00 to LOCAL KIRANA on 20-08-2023. Ref: KIR5959. ICICI.,Groceries,395.0
Rs. 990.00 spent at DMART via UPI on 18-08-2023. Ref ID: DMRT6060. SBI.,Groceries,990.0
UPI txn Rs. 460.60 to BLINKIT on 16-08-2023. Ref: BLK6161. Paytm.,Groceries,460.6
Rs. 130.00 debited for UBER ride on 14-09-2023. Ref ID: UBR6262. HDFC.,Travel,130.0
UPI payment Rs. 65.75 to RAPIDO on 12-09-2023. Ref: RAP6363. ICICI.,Travel,65.75
Rs. 3200 paid for IRCTC ticket via UPI on 10-09-2023. Ref ID: IRCTC6464. SBI.,Travel,3200.0
UPI txn Rs. 410.00 to PETROL BUNK on 08-09-2023. Ref: PET6565. Axis.,Travel,410.0
Rs. 105.50 debited for UBER on 06-09-2023. Ref ID: UBR6666. Paytm.,Travel,105.5
UPI payment Rs. 80.00 to RAPIDO on 04-09-2023. Ref: RAP6767. HDFC.,Travel,80.0
Rs. 2300.00 paid for IRCTC reservation on 02-09-2023. Ref ID: IRCTC6868. ICICI.,Travel,2300.0
UPI txn Rs. 470.25 to PETROL STATION on 30-08-2023. Ref: PET6969. SBI.,Travel,470.25
Rs. 95.00 spent on UBER ride on 28-08-2023. Ref ID: UBR7070. Axis.,Travel,95.0
UPI debit Rs. 55.50 for RAPIDO on 26-08-2023. Ref: RAP7171. Paytm.,Travel,55.5
Rs. 3800 paid for IRCTC ticket on 24-08-2023. Ref ID: IRCTC7272. HDFC.,Travel,3800.0
UPI transaction Rs. 610.00 to PETROL BUNK on 22-08-2023. Ref: PET7373. ICICI.,Travel,610.0
Rs. 410.00 debited for medical test at APOLLO PHARMACY via UPI on 20-09-2023. Ref ID: APH7474.,Medical,410.0
UPI payment Rs. 1250.75 to SUN PHARMACY on 18-09-2023. Ref: SUN7575. SBI.,Medical,1250.75
Rs. 790.50 spent at MEDPLUS on 16-09-2023 via UPI. Ref ID: MP7676. Axis.,Medical,790.5
UPI txn Rs. 230.99 to APOLLO PHARMACY on 14-09-2023. Ref: APH7777. Paytm.,Medical,230.99
Rs. 720.00 debited for DENTAL CARE at DENTIST CLINIC via UPI on 12-09-2023. Ref ID: DENT7878.,Medical,720.0
UPI payment Rs. 380.75 to SUN PHARMACY on 10-09-2023. Ref: SUN7979. HDFC.,Medical,380.75
Rs. 525.25 spent at MEDPLUS on 08-09-2023 via UPI. Ref ID: MP8080. ICICI.,Medical,525.25
UPI txn Rs. 1050.00 to APOLLO PHARMACY on 06-09-2023. Ref: APH8181. SBI.,Medical,1050.0
Rs. 300.00 debited for PHYSIOTHERAPY at HEALTH CLINIC via UPI on 04-09-2023. Ref ID: HC8282.,Medical,300.0
UPI payment Rs. 820.50 to SUN PHARMACY on 02-09-2023. Ref: SUN8383. Axis.,Medical,820.5
Rs. 1700.00 paid for ELECTRICITY BILL via UPI on 30-08-2023. Ref ID: EBILL8484. HDFC.,Bills,1700.0
UPI debit Rs. 1050.75 for WATER BILL on 28-08-2023. Ref: WBILL8585. ICICI.,Bills,1050.75
Rs. 1400.00 paid for GAS BILL via UPI on 26-08-2023. Ref ID: GBILL8686. SBI.,Bills,1400.0
UPI txn Rs. 650.50 for MOBILE RECHARGE on 24-08-2023. Ref: MR8787. Axis.,Bills,650.5
Rs. 380.00 debited for DTH RECHARGE via UPI on 22-08-2023. Ref ID: DTH8888. Paytm.,Bills,380.0
UPI payment Rs. 950.25 for INTERNET BILL on 20-08-2023. Ref: IBILL8989. HDFC.,Bills,950.25
Rs. 520.00 paid for LANDLINE BILL via UPI on 18-08-2023. Ref ID: LBILL9090. ICICI.,Bills,520.0
UPI txn Rs. 239.99 for ELECTRICITY BILL on 16-08-2023. Ref: EBILL9191. SBI.,Bills,239.99
Rs. 1199.00 debited for WATER BILL via UPI on 14-08-2023. Ref ID: WBILL9292. Axis.,Bills,1199.0
UPI payment Rs. 300.75 for GAS BILL on 12-08-2023. Ref: GBILL9393. Paytm.,Bills,300.75
Rs. 440.00 spent at AMAZON PAY on 10-09-2023 via UPI. Ref ID: AMZ9494. HDFC.,Others,440.0
UPI debit Rs. 555.50 for ONLINE SUBSCRIPTION on 08-09-2023. Ref: SUB9595. ICICI.,Others,555.5
Rs. 770.00 paid to PAYTM CASHBACK via UPI on 06-09-2023. Ref ID: PTM9696. SBI.,Others,770.0
UPI txn Rs. 315.25 for GIFT CARD purchase on 04-09-2023. Ref: GC9797. Axis.,Others,315.25
Rs. 960.00 debited for CHARITY DONATION via UPI on 02-09-2023. Ref ID: CHAR9898. Paytm.,Others,960.0
UPI payment Rs. 185.75 for MOVIE TICKETS on 30-08-2023. Ref: MT9999. HDFC.,Others,185.75
Rs. 1190.00 spent at FLIPKART via UPI on 28-08-2023. Ref ID: FLP1010. ICICI.,Others,1190.0
UPI txn Rs. 380.00 for ONLINE COURSE on 26-08-2023. Ref: OC1111. SBI.,Others,380.0
Rs. 260.50 debited for PARKING FEE via UPI on 24-08-2023. Ref ID: PKG1212. Axis.,Others,260.5
UPI payment Rs. 1500.00 for FURNITURE purchase on 22-08-2023. Ref: FRN1313. Paytm.,Others,1500.0
Rs. 95.00 spent at LOCAL CAFE via UPI on 20-09-2023. Ref ID: CAF1414. HDFC.,Food,95.0
UPI txn Rs. 210.25 to ZOMATO on 18-09-2023. Ref: ZOM1515. ICICI.,Food,210.25
Rs. 300.00 debited for SWIGGY order on 16-09-2023. Ref ID: SWG1616. SBI.,Food,300.0
UPI payment Rs. 120.99 to TEA STALL on 14-09-2023. Ref: TS1717. Paytm.,Food,120.99
Rs. 500.50 spent at RESTAURANT DELIGHT via UPI on 12-09-2023. Ref ID: RES1818. Axis.,Food,500.5
UPI txn Rs. 380.75 to ZOMATO on 10-09-2023. Ref: ZOM1919. HDFC.,Food,380.75
Rs. 660.00 debited for SWIGGY on 08-09-2023. Ref ID: SWG2020. ICICI.,Food,660.0
UPI payment Rs. 170.25 to TEA STALL on 06-09-2023. Ref: TS2121. SBI.,Food,170.25
Rs. 2700 paid for DMART groceries via UPI on 04-09-2023. Ref ID: DMRT2222. HDFC.,Groceries,2700.0
UPI txn Rs. 975.50 to BLINKIT on 02-09-2023. Ref: BLK2323. Axis.,Groceries,975.5
Rs. 380.00 debited for ZEPT0 on 30-08-2023. Ref ID: ZEP2424. ICICI.,Groceries,380.0
UPI payment Rs. 505.75 to LOCAL KIRANA on 28-08-2023. Ref: KIR2525. SBI.,Groceries,505.75
Rs. 860.00 spent at DMART via UPI on 26-08-2023. Ref ID: DMRT2626. Paytm.,Groceries,860.0
UPI txn Rs. 229.99 to BLINKIT on 24-08-2023. Ref: BLK2727. HDFC.,Groceries,229.99
Rs. 750.25 debited for ZEPT0 on 22-08-2023. Ref ID: ZEP2828. Axis.,Groceries,750.25
UPI payment Rs. 415.00 to LOCAL KIRANA on 20-08-2023. Ref: KIR2929. ICICI.,Groceries,415.0
Rs. 1040.00 spent at DMART via UPI on 18-08-2023. Ref ID: DMRT3030. SBI.,Groceries,1040.0
UPI txn Rs. 480.60 to BLINKIT on 16-08-2023. Ref: BLK3131. Paytm.,Groceries,480.6
Rs. 140.00 debited for UBER ride on 14-09-2023. Ref ID: UBR3232. HDFC.,Travel,140.0
UPI payment Rs. 75.75 to RAPIDO on 12-09-2023. Ref: RAP3333. ICICI.,Travel,75.75
Rs. 3400 paid for IRCTC ticket via UPI on 10-09-2023. Ref ID: IRCTC3434. SBI.,Travel,3400.0
UPI txn Rs. 440.00 to PETROL BUNK on 08-09-2023. Ref: PET3535. Axis.,Travel,440.0
Rs. 115.50 debited for UBER on 06-09-2023. Ref ID: UBR3636. Paytm.,Travel,115.5
UPI payment Rs. 90.00 to RAPIDO on 04-09-2023. Ref: RAP3737. HDFC.,Travel,90.0
Rs. 2500.00 paid for IRCTC reservation on 02-09-2023. Ref ID: IRCTC3838. ICICI.,Travel,2500.0
UPI txn Rs. 490.25 to PETROL STATION on 30-08-2023. Ref: PET3939. SBI.,Travel,490.25
Rs. 105.00 spent on UBER ride on 28-08-2023. Ref ID: UBR4040. Axis.,Travel,105.0
UPI debit Rs. 65.50 for RAPIDO on 26-08-2023. Ref: RAP4141. Paytm.,Travel,65.5
Rs. 4000 paid for IRCTC ticket on 24-08-2023. Ref ID: IRCTC4242. HDFC.,Travel,4000.0
UPI transaction Rs. 660.00 to PETROL BUNK on 22-08-2023. Ref: PET4343. ICICI.,Travel,660.0
Rs. 430.00 debited for medical consultation at SUN PHARMACY via UPI on 20-09-2023. Ref ID: SUN4444.,Medical,430.0
UPI payment Rs. 1350.75 to APOLLO PHARMACY on 18-09-2023. Ref: APH4545. SBI.,Medical,1350.75
Rs. 840.50 spent at MEDPLUS on 16-09-2023 via UPI. Ref ID: MP4646. Axis.,Medical,840.5
UPI txn Rs. 250.99 to SUN PHARMACY on 14-09-2023. Ref: SUN4747. Paytm.,Medical,250.99
Rs. 770.00 debited for DENTAL CARE at DENTIST CLINIC via UPI on 12-09-2023. Ref ID: DENT4848.,Medical,770.0
UPI payment Rs. 410.75 to APOLLO PHARMACY on 10-09-2023. Ref: APH4949. HDFC.,Medical,410.75
Rs. 545.25 spent at MEDPLUS on 08-09-2023 via UPI. Ref ID: MP5050. ICICI.,Medical,545.25
UPI txn Rs. 1150.00 to SUN PHARMACY on 06-09-2023. Ref: SUN5151. SBI.,Medical,1150.0
Rs. 320.00 debited for PHYSIOTHERAPY at HEALTH CLINIC via UPI on 04-09-2023. Ref ID: HC5252.,Medical,320.0
UPI payment Rs. 860.50 to APOLLO PHARMACY on 02-09-2023. Ref: APH5353. Axis.,Medical,860.5
Rs. 1900.00 paid for ELECTRICITY BILL via UPI on 30-08-2023. Ref ID: EBILL5454. HDFC.,Bills,1900.0
UPI debit Rs. 1150.75 for WATER BILL on 28-08-2023. Ref: WBILL5555. ICICI.,Bills,1150.75
Rs. 1500.00 paid for GAS BILL via UPI on 26-08-2023. Ref ID: GBILL5656. SBI.,Bills,1500.0
UPI txn Rs. 700.50 for MOBILE RECHARGE on 24-08-2023. Ref: MR5757. Axis.,Bills,700.5
Rs. 410.00 debited for DTH RECHARGE via UPI on 22-08-2023. Ref ID: DTH5858. Paytm.,Bills,410.0
UPI payment Rs. 1050.25 for INTERNET BILL on 20-08-2023. Ref: IBILL5959. HDFC.,Bills,1050.25
Rs. 570.00 paid for LANDLINE BILL via UPI on 18-08-2023. Ref ID: LBILL6060. ICICI.,Bills,570.0
UPI txn Rs. 259.99 for ELECTRICITY BILL on 16-08-2023. Ref: EBILL6161. SBI.,Bills,259.99
Rs. 1299.00 debited for WATER BILL via UPI on 14-08-2023. Ref ID: WBILL6262. Axis.,Bills,1299.0
UPI payment Rs. 320.75 for GAS BILL on 12-08-2023. Ref: GBILL6363. Paytm.,Bills,320.75
Rs. 460.00 spent at AMAZON PAY on 10-09-2023 via UPI. Ref ID: AMZ6464. HDFC.,Others,460.0
UPI debit Rs. 575.50 for ONLINE SUBSCRIPTION on 08-09-2023. Ref: SUB6565. ICICI.,Others,575.5
Rs. 790.00 paid to PAYTM CASHBACK via UPI on 06-09-2023. Ref ID: PTM6666. SBI.,Others,790.0
UPI txn Rs. 335.25 for GIFT CARD purchase on 04-09-2023. Ref: GC6767. Axis.,Others,335.25
Rs. 980.00 debited for CHARITY DONATION via UPI on 02-09-2023. Ref ID: CHAR6868. Paytm.,Others,980.0
UPI payment Rs. 195.75 for MOVIE TICKETS on 30-08-2023. Ref: MT6969. HDFC.,Others,195.75
Rs. 1230.00 spent at FLIPKART via UPI on 28-08-2023. Ref ID: FLP7070. ICICI.,Others,1230.0
UPI txn Rs. 400.00 for ONLINE COURSE on 26-08-2023. Ref: OC7171. SBI.,Others,400.0
Rs. 280.50 debited for PARKING FEE via UPI on 24-08-2023. Ref ID: PKG7272. Axis.,Others,280.5
UPI payment Rs. 1600.00 for FURNITURE purchase on 22-08-2023. Ref: FRN7373. Paytm.,Others,1600.0
Your HDFC Bank account XXXX5678 is debited INR 349.00 for Zomato order #Z12345 on 05-08-2023. Ref: HDFC20230805.,Food,349.0
SBI UPI transaction of INR 125.50 to Swiggy (Order ID SWG789) completed on 12/09/2023. Ref No: SBI0912XYZ.,Food,125.5
ICICI Bank account XXXX4321 debited INR 799 for Dinner at The Spice Route on 20-07-2023. Ref: ICICIDIN20.,Food,799.0
Your Axis Bank account XXXX9876 spent INR 45.75 at Tea Stall - Chai Point on 01-09-2023. Ref: AXIS0910TP.,Food,45.75
Paytm Payments Bank UPI ID: user@paytm debited INR 560 for Zomato order #Z98765 on 15-08-2023. Ref: PTM560Z.,Food,560.0
Your HDFC Bank account XXXX3456 debited INR 250 for Swiggy order #SW123 on 22-09-2023. Ref: HDFC250SW.,Food,250.0
"SBI UPI transaction of INR 1,200 paid to Hotel Grand Palace on 03-10-2023. Ref: SBIR1200HP.",Food,1200.0
ICICI Bank account XXXX1111 debited INR 89.90 at Tea Stall - Kesar Chai on 07-08-2023. Ref: ICICIK89.,Food,89.9
Your Axis Bank account XXXX2222 spent INR 320.45 for Zomato order #Z45678 on 14-09-2023. Ref: AXIS320Z.,Food,320.45
Paytm Payments Bank UPI ID: user@paytm debited INR 150 for Swiggy order #SW456 on 19-09-2023. Ref: PTM150SW.,Food,150.0
"Your HDFC Bank account XXXX7777 debited INR 2,350 for a family dinner at The Great Indian Kitchen on 25-08-2023. Ref: HDFC2350GIK.",Food,2350.0
SBI UPI transaction of INR 68.20 at Tea Stall - Street Chai on 02-09-2023. Ref: SBI6820TS.,Food,68.2
ICICI Bank account XXXX3333 spent INR 499.99 for Zomato order #Z321 on 10-09-2023. Ref: ICICIZ499.,Food,499.99
Your Axis Bank account XXXX4444 debited INR 275 for Swiggy order #SW789 on 18-09-2023. Ref: AXIS275SW.,Food,275.0
"Paytm Payments Bank UPI ID: user@paytm paid INR 1,050 for Dinner at Royal Taj on 23-09-2023. Ref: PTM1050RT.",Food,1050.0
Your HDFC Bank account XXXX5555 spent INR 39.99 at Tea Stall - Chai Adda on 05-10-2023. Ref: HDFC3999TA.,Food,39.99
SBI UPI transaction of INR 650 for Zomato order #Z654 on 07-10-2023. Ref: SBI650Z.,Food,650.0
ICICI Bank account XXXX6666 debited INR 210.75 for Swiggy order #SW321 on 09-10-2023. Ref: ICICISW210.,Food,210.75
"Your Axis Bank account XXXX7778 spent INR 1,800 for a banquet at Hotel Sunrise on 12-10-2023. Ref: AXIS1800HS.",Food,1800.0
Paytm Payments Bank UPI ID: user@paytm debited INR 55.60 at Tea Stall - Masala Chai on 14-10-2023. Ref: PTM5560TC.,Food,55.6
Your HDFC Bank account XXXX8888 debited INR 299 for Zomato order #Z987 on 16-10-2023. Ref: HDFC299Z.,Food,299.0
"SBI UPI transaction of INR 1,250 paid to DMart for groceries on 18-10-2023. Ref: SBIDMART1250.",Groceries,1250.0
ICICI Bank account XXXX9999 spent INR 785.40 at Blinkit for household items on 20-10-2023. Ref: ICICIBLK785.,Groceries,785.4
Your Axis Bank account XXXX0001 debited INR 420 for Zepto order #ZP123 on 22-10-2023. Ref: AXIS420ZP.,Groceries,420.0
"Paytm Payments Bank UPI ID: user@paytm paid INR 1,050 for Local Kirana purchase on 24-10-2023. Ref: PTM1050LK.",Groceries,1050.0
Your HDFC Bank account XXXX1112 spent INR 199.99 at DMart on 26-10-2023. Ref: HDFC199DM.,Groceries,199.99
SBI UPI transaction of INR 650.75 for Blinkit order #BLK456 on 28-10-2023. Ref: SBI650BLK.,Groceries,650.75
ICICI Bank account XXXX2223 debited INR 350 for Zepto groceries on 30-10-2023. Ref: ICICIZ350.,Groceries,350.0
Your Axis Bank account XXXX3334 spent INR 890.20 at Local Kirana on 01-11-2023. Ref: AXIS890LK.,Groceries,890.2
"Paytm Payments Bank UPI ID: user@paytm debited INR 1,200 for DMart shopping on 03-11-2023. Ref: PTM1200DM.",Groceries,1200.0
Your HDFC Bank account XXXX4445 debited INR 475.55 for Blinkit order #BLK789 on 05-11-2023. Ref: HDFC475BLK.,Groceries,475.55
SBI UPI transaction of INR 299 for Zepto order #ZP987 on 07-11-2023. Ref: SBI299ZP.,Groceries,299.0
"ICICI Bank account XXXX5556 spent INR 1,350 at Local Kirana on 09-11-2023. Ref: ICICILK1350.",Groceries,1350.0
Your Axis Bank account XXXX6667 debited INR 620.80 for DMart purchase on 11-11-2023. Ref: AXIS620DM.,Groceries,620.8
Paytm Payments Bank UPI ID: user@paytm paid INR 780 for Blinkit groceries on 13-11-2023. Ref: PTM780BLK.,Groceries,780.0
"Your HDFC Bank account XXXX7778 spent INR 1,099.99 at Zepto on 15-11-2023. Ref: HDFC1099ZP.",Groceries,1099.99
SBI UPI transaction of INR 450 for Local Kirana purchase on 17-11-2023. Ref: SBI450LK.,Groceries,450.0
"ICICI Bank account XXXX8889 debited INR 1,250 for DMart shopping on 19-11-2023. Ref: ICICIDM1250.",Groceries,1250.0
Your Axis Bank account XXXX9990 spent INR 330.25 at Blinkit on 21-11-2023. Ref: AXIS330BLK.,Groceries,330.25
Paytm Payments Bank UPI ID: user@paytm debited INR 890 for Zepto order #ZP654 on 23-11-2023. Ref: PTM890ZP.,Groceries,890.0
"Your HDFC Bank account XXXX1122 debited INR 1,500 for Uber ride on 25-11-2023. Ref: HDFC1500UB.",Travel,1500.0
SBI UPI transaction of INR 85.60 for Rapido bike ride on 27-11-2023. Ref: SBI8560RP.,Travel,85.6
"ICICI Bank account XXXX2233 spent INR 2,200 for IRCTC train tickets on 29-11-2023. Ref: ICICITR2200.",Travel,2200.0
"Your Axis Bank account XXXX3344 debited INR 1,350 for Petrol at Indian Oil on 01-12-2023. Ref: AXIS1350IO.",Travel,1350.0
Paytm Payments Bank UPI ID: user@paytm paid INR 95 for Uber ride on 03-12-2023. Ref: PTM95UB.,Travel,95.0
"Your HDFC Bank account XXXX4455 spent INR 1,100 for Rapido ride on 05-12-2023. Ref: HDFC1100RP.",Travel,1100.0
"SBI UPI transaction of INR 2,500 for IRCTC booking (PNR 1234567890) on 07-12-2023. Ref: SBI2500IR.",Travel,2500.0
"ICICI Bank account XXXX5566 debited INR 1,420 for Petrol at BP on 09-12-2023. Ref: ICICIBP1420.",Travel,1420.0
Your Axis Bank account XXXX6677 spent INR 78.90 for Uber ride on 11-12-2023. Ref: AXIS78UB.,Travel,78.9
"Paytm Payments Bank UPI ID: user@paytm paid INR 1,750 for IRCTC tickets on 13-12-2023. Ref: PTM1750IR.",Travel,1750.0
Your HDFC Bank account XXXX7788 debited INR 560 for Petrol at Hindustan Petroleum on 15-12-2023. Ref: HDFC560HP.,Travel,560.0
SBI UPI transaction of INR 120 for Rapido ride on 17-12-2023. Ref: SBI120RP.,Travel,120.0
"ICICI Bank account XXXX8899 spent INR 2,300 for Uber ride on 19-12-2023. Ref: ICICIB300UB.",Travel,2300.0
"Your Axis Bank account XXXX9900 debited INR 1,050 for Petrol at Reliance on 21-12-2023. Ref: AXIS1050RL.",Travel,1050.0
